0.00B 	base
555.00KiB 	libxkbcommon
559.00KiB 	libwacom
563.52KiB 	libssh
565.00KiB 	glib-networking
571.80KiB 	faad2
572.00KiB 	libpng
575.00KiB 	fmt
579.00KiB 	libomxil-bellagio
634.51KiB 	shaderc
638.00KiB 	speex
643.00KiB 	libatomic_ops
645.88KiB 	libseccomp
648.00KiB 	lcms2
650.00KiB 	tmux
658.00KiB 	libthai
665.85KiB 	grep
668.36KiB 	ttf-go-mono-git
685.00KiB 	libmng
707.82KiB 	readline
708.00KiB 	cantarell-fonts
709.64KiB 	sed
715.00KiB 	libva
718.00KiB 	jxrlib
721.47KiB 	python-pyparsing
722.00KiB 	xvidcore
730.96KiB 	nspr
736.00KiB 	wayland
741.53KiB 	gc
754.00KiB 	spdlog
759.00KiB 	pixman
762.15KiB 	mpfr
769.00KiB 	dbus-glib
773.11KiB 	xz
774.00KiB 	graphite
775.00KiB 	rest
777.00KiB 	opencl-headers
806.00KiB 	waybar
812.00KiB 	webrtc-audio-processing
820.35KiB 	nettle
827.00KiB 	pavucontrol-qt
832.35KiB 	device-mapper
844.14KiB 	xcb-proto
847.00KiB 	cmus
849.09KiB 	libinput
850.91KiB 	libcups
902.18KiB 	libgpg-error
903.33KiB 	breeze-gtk
909.34KiB 	cracklib
910.20KiB 	libldap
922.58KiB 	dbus
923.15KiB 	ca-certificates-mozilla
928.00KiB 	qt5ct
938.48KiB 	cpio
939.00KiB 	lua52
940.69KiB 	gmp
943.00KiB 	libdrm
943.18KiB 	dav1d
947.00KiB 	libsndfile
960.00KiB 	wlroots
971.00KiB 	flex
979.00KiB 	freeimage
981.83KiB 	audit
997.00KiB 	lame
1065.00KiB 	libmtp
1069.00KiB 	l-smash
1072.00KiB 	luajit
1088.00KiB 	libwebp
1092.16KiB 	libarchive
1093.46KiB 	orc
1095.00KiB 	otf-font-awesome
1109.00KiB 	otf-fira-code
1138.61KiB 	inetutils
1147.00KiB 	flac
1154.00KiB 	libsigc++
1184.90KiB 	libevent
1198.00KiB 	libbluray
1209.00KiB 	libcroco
1210.78KiB 	otf-san-francisco-mono
1235.29KiB 	archlinux-keyring
1260.55KiB 	gpgme
1286.46KiB 	make
1350.20KiB 	libgcrypt
1360.15KiB 	procps-ng
1413.00KiB 	granite
1420.72KiB 	diffutils
1422.00KiB 	jasper
1434.78KiB 	libutil-linux
1448.00KiB 	libpulse
1506.00KiB 	libmp4v2
1516.96KiB 	alsa-lib
1525.00KiB 	libvorbis
1554.00KiB 	libgee
1569.00KiB 	libsamplerate
1594.00KiB 	openal
1594.15KiB 	automake
1602.00KiB 	freetype2
1604.07KiB 	python-setuptools
1619.28KiB 	findutils
1624.05KiB 	curl
1637.00KiB 	json-glib
1646.00KiB 	xorgproto
1666.00KiB 	jsoncpp
1752.00KiB 	opus
1760.49KiB 	hwids
1761.43KiB 	otf-hasklig
1774.34KiB 	ranger
1786.00KiB 	libtheora
1823.56KiB 	systemd-libs
1882.00KiB 	polkit
1965.05KiB 	avahi
2018.19KiB 	bison
2047.05KiB 	autoconf
2.01MiB 	libnl
2.04MiB 	xorg-server-xwayland
2.05MiB 	alsa-utils
2.08MiB 	libsecret
2.09MiB 	libxt
2.10MiB 	libraw
2.11MiB 	fontconfig
2.12MiB 	at-spi2-core
2.14MiB 	adobe-source-code-pro-fonts
2.14MiB 	cryptsetup
2.16MiB 	libjpeg-turbo
2.19MiB 	libtool
2.19MiB 	man-db
2.20MiB 	bluez
2.25MiB 	libunistring
2.27MiB 	brotli
2.31MiB 	libelf
2.40MiB 	iptables
2.43MiB 	iwd
2.47MiB 	tzdata
2.60MiB 	iproute2
2.72MiB 	libtiff
2.77MiB 	gawk
2.83MiB 	jack
2.83MiB 	tar
2.84MiB 	pam
2.85MiB 	kbd
2.96MiB 	sdl2
2.96MiB 	zstd
3.22MiB 	libepoxy
3.36MiB 	sudo
3.41MiB 	pcre
3.43MiB 	cairo
3.50MiB 	ncurses
3.50MiB 	p11-kit
3.55MiB 	atk
3.64MiB 	libglvnd
3.70MiB 	fzf
3.71MiB 	pcre2
3.71MiB 	shadow
3.72MiB 	x264
3.87MiB 	iana-etc
3.94MiB 	mbedtls
3.95MiB 	ttf-ubuntu-font-family
4.00MiB 	libxcb
4.04MiB 	gdk-pixbuf2
4.09MiB 	mpv-light
4.12MiB 	gsettings-desktop-schemas
4.22MiB 	v4l-utils
4.25MiB 	shared-mime-info
4.26MiB 	librsvg
4.36MiB 	pango
4.38MiB 	linux-api-headers
4.41MiB 	pacman
4.44MiB 	libvpx
4.48MiB 	harfbuzz
4.49MiB 	krb5
4.65MiB 	bat
4.76MiB 	e2fsprogs
4.79MiB 	libsoup
4.87MiB 	btrfs-progs
5.10MiB 	nss
5.18MiB 	msgpack-c
5.18MiB 	ttf-roboto
5.25MiB 	otf-san-francisco-compact
5.32MiB 	bluez-utils
5.33MiB 	spirv-tools
5.38MiB 	xkeyboard-config
5.53MiB 	sway
5.55MiB 	file
5.56MiB 	aria2
5.59MiB 	man-pages
5.63MiB 	qt5-wayland
5.82MiB 	freerdp
5.83MiB 	fftw
5.91MiB 	glibmm
6.10MiB 	zsh
6.25MiB 	pulseaudio
6.26MiB 	p7zip
6.31MiB 	otf-new-york
6.32MiB 	yay
6.41MiB 	db
6.42MiB 	gnutls
6.93MiB 	colord
6.94MiB 	libical
7.05MiB 	alacritty
7.11MiB 	breeze-contrast-cursor-theme
7.22MiB 	openssl
7.29MiB 	gettext
7.82MiB 	libva-intel-driver
8.03MiB 	bash
8.10MiB 	aom
8.26MiB 	ttf-montserrat
8.49MiB 	sqlite
8.52MiB 	texinfo
8.57MiB 	qbittorrent
9.20MiB 	libxml2
9.57MiB 	groff
9.60MiB 	libtorrent-rasterbar
9.68MiB 	imagemagick
9.77MiB 	gnupg
9.90MiB 	boost-libs
9.91MiB 	micro-bin
10.53MiB 	gtkmm3
10.54MiB 	libx11
12.33MiB 	util-linux
12.47MiB 	dnscrypt-proxy
12.52MiB 	youtube-dl
12.63MiB 	openjpeg2
12.91MiB 	glslang
14.35MiB 	glib2
15.39MiB 	coreutils
17.12MiB 	gst-plugins-base-libs
18.05MiB 	iso-codes
18.32MiB 	gstreamer
18.83MiB 	x265
20.05MiB 	neovim
20.78MiB 	qt5-declarative
21.28MiB 	systemd
22.43MiB 	adwaita-icon-theme
29.25MiB 	binutils
30.17MiB 	ffmpeg
